domain,peel,tp_events,fp_events,matched_events,fp_fraction,fp_share,fp_cumulative
denoised,11,5054,2011,7065,0.2846426043878273,0.02494294502877555,0.17016025004961302
denoised,12,4515,1938,6453,0.30032543003254303,0.02403750744195277,0.1941977574915658
denoised,13,3931,2006,5937,0.33788108472292405,0.024880928755705498,0.21907868624727128
denoised,14,3280,2012,5292,0.3801965230536659,0.02495534828338956,0.24403403453066083
denoised,15,2861,2032,4893,0.4152871449008788,0.025203413375669777,0.2692374479063306
denoised,16,2490,2033,4523,0.4494804333407031,0.025215816630283786,0.29445326453661436
denoised,17,2089,2017,4106,0.49123234291281054,0.025017364556459615,0.319470629093074
denoised,18,1735,2018,3753,0.5377031707966959,0.025029767811073626,0.34450039690414763
denoised,19,1505,1951,3456,0.5645254629629629,0.02419874975193491,0.36869914665608255
denoised,20,1293,1963,3256,0.6028869778869779,0.024347588807303037,0.3930467354633856
denoised,21,1225,1986,3211,0.6184989099968857,0.02463286366342528,0.41767959912681085
denoised,22,1024,1974,2998,0.6584389593062041,0.024484024608057153,0.442163623734868
denoised,23,943,1924,2867,0.6710847575863271,0.023863861877356618,0.4660274856122246
denoised,24,788,1890,2678,0.7057505601194921,0.023442151220480253,0.4894696368327049
denoised,25,717,1811,2528,0.716376582278481,0.022462294105973408,0.5119319309386783
denoised,26,643,1842,2485,0.7412474849094567,0.02284679499900774,0.534778725937686
denoised,27,618,1842,2460,0.748780487804878,0.02284679499900774,0.5576255209366938
denoised,28,586,1804,2390,0.7548117154811715,0.022375471323675334,0.5800009922603692
denoised,29,529,1769,2298,0.7697998259355961,0.021941357412184958,0.6019423496725541
denoised,30,489,1792,2281,0.7856203419552827,0.022226632268307202,0.6241689819408613
denoised,31,483,1775,2258,0.7860938883968114,0.02201577693986902,0.6461847588807303
denoised,32,389,1645,2034,0.8087512291052114,0.020403353840047628,0.666588112720778
denoised,33,368,1659,2027,0.8184509126788357,0.02057699940464378,0.6871651121254218
denoised,34,359,1728,2087,0.8279827503593675,0.02143282397301052,0.7085979360984322
denoised,35,295,1643,1938,0.8477812177502579,0.020378547330819608,0.7289764834292518
denoised,36,298,1526,1824,0.8366228070175439,0.018927366540980352,0.7479038499702322
denoised,37,275,1502,1777,0.8452447945976365,0.018629688430244096,0.7665335384004763
denoised,38,272,1424,1696,0.839622641509434,0.01766223457035126,0.7841957729708275
denoised,39,246,1441,1687,0.8541790160047421,0.017873089898789444,0.802068862869617
denoised,40,222,1401,1623,0.8632162661737524,0.017376959714229014,0.819445822583846
denoised,41,228,1257,1485,0.8464646464646465,0.01559089104981147,0.8350367136336575
denoised,42,163,1206,1369,0.8809349890430972,0.014958325064496923,0.8499950386981544
