domain,sample_type,gt_unit_id,frame,top1_score,top2_score,winner_template,winner_margin
raw_native,gt,664.0,21110268,8.652854,7.407032,185,1.245822
raw_native,background,,21140170,14.310119,9.453273,407,4.856846
raw_native,background,,21145247,4.5626845,4.3013005,155,0.261384
raw_native,background,,21154729,10.623665,9.916704,261,0.7069607
raw_native,background,,21155163,20.655426,18.394823,218,2.260603
raw_native,background,,21157328,5.658992,4.365331,577,1.2936606
raw_native,background,,21166100,14.623454,13.102702,453,1.520752
raw_native,gt,94.0,21124775,33.398838,26.916264,328,6.4825745
raw_native,gt,337.0,21159917,15.561056,12.301989,497,3.2590675
raw_native,gt,720.0,21121727,8.455295,7.850533,32,0.6047616
raw_native,gt,664.0,21132921,10.548636,10.422178,32,0.12645817
raw_native,background,,21192523,6.458298,6.0293517,537,0.4289465
raw_native,background,,21193543,4.6606445,4.461299,145,0.19934559
raw_native,background,,21195761,16.227745,15.391935,242,0.8358097
raw_native,background,,21206270,20.741127,20.691484,89,0.049642563
raw_native,background,,21212639,11.587767,10.009867,294,1.5778999
raw_native,background,,21213823,4.7779264,4.523298,18,0.25462866
raw_native,background,,21216310,6.1074433,5.4004107,47,0.7070327
raw_native,background,,21219534,7.201172,7.0775113,30,0.123660564
raw_native,background,,21223462,7.5115814,6.5076118,497,1.0039697
raw_native,background,,21231513,11.481869,10.409536,240,1.0723324
raw_native,background,,21236272,8.376521,7.8972826,193,0.4792385
raw_native,background,,21237906,6.1787915,5.4391537,396,0.73963785
raw_native,gt,664.0,21234132,15.079294,12.176467,228,2.9028273
raw_native,background,,21241609,10.164702,7.495136,508,2.6695666
raw_native,background,,21259840,13.809365,12.175161,276,1.6342039
raw_native,background,,21271218,15.104756,5.967151,68,9.137606
raw_native,background,,21279514,14.785287,13.580989,289,1.204298
raw_native,background,,21288480,7.6879506,7.2570014,321,0.4309492
raw_native,background,,21290384,12.657065,11.328106,17,1.3289595
raw_native,background,,21294740,11.93021,11.497172,254,0.43303776
raw_native,gt,1143.0,21250309,37.85138,32.359596,23,5.491783
raw_native,background,,21308243,11.685178,10.680164,209,1.0050135
raw_native,background,,21316850,32.918198,27.670425,552,5.247772
raw_native,background,,21320308,25.205719,18.613745,529,6.5919743
raw_native,background,,21326155,9.515604,6.176966,53,3.3386378
raw_native,background,,21339742,4.556609,4.3665495,193,0.19005966
raw_native,background,,21343104,19.320665,17.480906,217,1.8397598
raw_native,background,,21356708,11.340258,7.274309,358,4.0659485
raw_native,gt,1143.0,21357954,12.200638,11.580912,44,0.6197262
raw_native,gt,720.0,21348581,15.939388,12.45425,406,3.485138
raw_native,gt,793.0,21306516,15.378111,11.189045,112,4.189066
raw_native,gt,793.0,21309145,18.566246,11.457409,112,7.108837
raw_native,background,,21376787,9.307006,8.052397,374,1.2546091
raw_native,background,,21378349,13.136365,11.813048,236,1.3233166
raw_native,background,,21379870,12.853407,10.619372,324,2.2340345
raw_native,background,,21385437,5.172828,5.0995626,383,0.07326555
raw_native,background,,21393937,15.129135,11.336354,10,3.7927809
raw_native,background,,21395573,5.6442046,5.5711694,367,0.07303524
raw_native,background,,21396628,17.652775,15.790088,288,1.8626871
raw_native,background,,21396726,10.719524,6.96939,539,3.7501345
raw_native,background,,21404007,8.715811,8.092751,249,0.6230602
raw_native,background,,21410053,5.8829336,5.7683673,175,0.114566326
raw_native,background,,21417819,26.178246,18.736351,239,7.4418945
raw_native,background,,21417857,16.328781,11.549087,182,4.7796946
raw_native,gt,2143.0,21367203,22.907784,17.018267,124,5.889517
raw_native,background,,21431581,6.6226554,6.162972,530,0.45968342
raw_native,background,,21431979,6.103597,5.80319,50,0.30040693
raw_native,background,,21435658,6.149247,5.9368205,24,0.21242666
raw_native,background,,21457318,5.214615,4.933407,554,0.28120804
raw_native,background,,21457749,6.019467,5.5222974,75,0.4971695
raw_native,background,,21463215,7.479112,5.225146,83,2.2539663
raw_native,gt,720.0,21420772,23.017435,19.617615,206,3.3998203
raw_native,gt,720.0,21442900,25.811205,17.653854,15,8.157351
raw_native,gt,1300.0,21441177,15.840213,13.295991,3,2.5442219
raw_native,gt,1129.0,21466159,42.129894,33.552967,23,8.576927
raw_native,gt,1129.0,21477121,14.831719,12.08938,330,2.7423391
raw_native,background,,21482953,19.40655,13.203093,273,6.203457
raw_native,background,,21484958,5.0335116,4.8118834,26,0.22162819
raw_native,background,,21485514,10.486606,7.8481975,19,2.6384082
raw_native,background,,21489894,20.929089,17.315226,315,3.613863
raw_native,background,,21493099,11.303716,10.555618,449,0.7480974
raw_native,background,,21494853,6.2345705,4.464473,348,1.7700977
raw_native,background,,21495042,6.936565,6.059424,32,0.877141
raw_native,background,,21511872,8.23184,8.158229,278,0.07361126
raw_native,background,,21517054,7.9953256,5.772981,280,2.2223444
raw_native,background,,21518053,5.270234,5.214139,29,0.056095123
raw_native,background,,21527221,5.8106937,5.741086,50,0.069607735
raw_native,gt,94.0,21507094,16.375223,10.474312,57,5.9009113
raw_native,gt,337.0,21484480,15.106321,10.94182,19,4.164501
raw_native,gt,720.0,21534892,23.92599,23.440113,454,0.48587608
raw_native,gt,1300.0,21499437,19.453876,16.39941,287,3.0544662
raw_native,gt,1122.0,21529769,13.487217,12.687603,171,0.79961395
raw_native,gt,793.0,21514651,16.716288,11.247799,112,5.4684887
raw_native,background,,21552762,8.995995,7.4461555,97,1.549839
raw_native,background,,21558007,24.49387,16.824324,40,7.669546
raw_native,background,,21562482,3.627898,3.6160579,377,0.011840105
raw_native,background,,21566492,9.034112,8.027128,367,1.0069838
